id,bucket,input_byte_len,input_token_len,target_token_len,tokens_per_byte,bytes_per_token,tokenizer_loss,phase5_prefix_p64_loss,phase5_prefix_p64_gain_vs_tokenizer,phase5_prefix_p64_delta_vs_tokenizer,phase6_kv_p32_all_loss,phase6_kv_p32_all_gain_vs_tokenizer,phase6_kv_p32_all_delta_vs_tokenizer
test_clean_english_200000,clean_english,137.0,29.0,29.0,0.2116788321167883,4.724137931034483,0.26935014128685,0.9927866458892822,-2.68585901290467,0.7234365046024323,0.8411506414413452,-2.1228891784598862,0.5718005001544952
test_clean_english_200001,clean_english,134.0,30.0,30.0,0.22388059701492538,4.466666666666667,0.2530123293399811,0.7128984928131104,-1.8176432930079267,0.4598861634731293,0.9114450812339783,-2.6023741752491407,0.6584327518939972
test_clean_english_200002,clean_english,140.0,24.0,24.0,0.17142857142857143,5.833333333333333,0.3089042603969574,0.08295490592718124,0.7314543159081716,-0.22594935446977615,0.004316739737987518,0.9860256387126539,-0.3045875206589699
test_clean_english_200003,clean_english,123.0,23.0,23.0,0.18699186991869918,5.3478260869565215,0.3341258466243744,0.022383568808436394,0.9330085683745379,-0.311742277815938,0.006955049466341734,0.9791843416586666,-0.32717079715803266
test_clean_english_200004,clean_english,134.0,29.0,29.0,0.21641791044776118,4.620689655172414,0.26513537764549255,0.9797564744949341,-2.6953064626665846,0.7146210968494415,0.8451679944992065,-2.187684729230154,0.580032616853714
test_clean_english_200005,clean_english,112.0,30.0,30.0,0.26785714285714285,3.7333333333333334,0.27439454197883606,1.1075764894485474,-3.0364377566007645,0.8331819474697113,0.8771693110466003,-2.1967447483494627,0.6027747690677643
test_clean_english_200006,clean_english,124.0,28.0,28.0,0.22580645161290322,4.428571428571429,0.30294957756996155,1.050866723060608,-2.4687842494777086,0.7479171454906464,1.1455568075180054,-2.781344792446382,0.8426072299480438
test_clean_english_200007,clean_english,131.0,25.0,25.0,0.19083969465648856,5.24,0.42524459958076477,0.05020112544298172,0.8819476473246846,-0.37504347413778305,0.0032821479253470898,0.9922817410765878,-0.4219624516554177
test_clean_english_200008,clean_english,104.0,30.0,30.0,0.28846153846153844,3.466666666666667,0.2069484293460846,1.117607831954956,-4.400417077270758,0.9106594026088715,1.0536808967590332,-4.091514345329669,0.8467324674129486
test_clean_english_200009,clean_english,129.0,24.0,24.0,0.18604651162790697,5.375,0.3586792051792145,0.04838113859295845,0.8651130651168228,-0.310298066586256,0.003528488101437688,0.9901625517998048,-0.3551507170777768
test_clean_english_200010,clean_english,124.0,28.0,28.0,0.22580645161290322,4.428571428571429,0.2677556872367859,0.8326918482780457,-2.1098941608723574,0.5649361610412598,0.7999891638755798,-1.9877578778303258,0.532233476638794
test_clean_english_200011,clean_english,129.0,28.0,28.0,0.21705426356589147,4.607142857142857,0.31386634707450867,0.8798138499259949,-1.8031480855675681,0.5659475028514862,0.9291132688522339,-1.9602194612844934,0.6152469217777252
test_clean_english_200012,clean_english,144.0,23.0,23.0,0.1597222222222222,6.260869565217392,0.43997058272361755,0.15718740224838257,0.642732017956016,-0.282783180475235,0.003425212111324072,0.9922149065282491,-0.4365453706122935
test_clean_english_200013,clean_english,111.0,28.0,28.0,0.25225225225225223,3.9642857142857144,0.31961098313331604,1.018442988395691,-2.1865081056081177,0.6988320052623749,0.9345601201057434,-1.9240550839140593,0.6149491369724274
test_clean_english_200014,clean_english,129.0,26.0,26.0,0.20155038759689922,4.961538461538462,0.28391626477241516,0.3884517252445221,-0.36819116564491877,0.10453546047210693,0.5196142792701721,-0.8301673547540168,0.23569801449775696
test_clean_english_200015,clean_english,134.0,29.0,29.0,0.21641791044776118,4.620689655172414,0.25600606203079224,0.7120932340621948,-1.7815483290256804,0.4560871720314026,0.9777153134346008,-2.8191100073130375,0.7217092514038086
test_clean_english_200016,clean_english,141.0,25.0,25.0,0.1773049645390071,5.64,0.3203202784061432,0.03768337890505791,0.8823571860871134,-0.2826368995010853,0.003215006086975336,0.989963151558894,-0.31710527231916785
test_clean_english_200017,clean_english,127.0,25.0,25.0,0.1968503937007874,5.08,0.2642399072647095,0.3611705005168915,-0.3668279869439977,0.096930593252182,0.41365790367126465,-0.5654634001096271,0.14941799640655518
test_clean_english_200018,clean_english,129.0,28.0,28.0,0.21705426356589147,4.607142857142857,0.32731252908706665,0.3907984793186188,-0.19396125901023656,0.06348595023155212,0.36474260687828064,-0.1143557745730455,0.03743007779121399
test_clean_english_200019,clean_english,119.0,28.0,28.0,0.23529411764705882,4.25,0.2961103022098541,0.3689897954463959,-0.24612278834152776,0.07287949323654175,0.3337225019931793,-0.12702090910929986,0.037612199783325195
test_clean_english_200020,clean_english,135.0,28.0,28.0,0.2074074074074074,4.821428571428571,0.2724262773990631,0.5256667733192444,-0.9295744094069986,0.2532404959201813,0.8453493118286133,-2.1030388107176057,0.5729230344295502
test_clean_english_200021,clean_english,126.0,28.0,28.0,0.2222222222222222,4.5,0.28303349018096924,0.6258449554443359,-1.2112046000074972,0.3428114652633667,0.690536618232727,-1.4397699996251458,0.4075031280517578
test_clean_english_200022,clean_english,117.0,26.0,26.0,0.2222222222222222,4.5,0.27212801575660706,0.40986523032188416,-0.5061486013570543,0.1377372145652771,0.34385937452316284,-0.26359417117388145,0.07173135876655579
test_clean_english_200023,clean_english,107.0,28.0,28.0,0.2616822429906542,3.8214285714285716,0.24039281904697418,0.9827778935432434,-3.0882165176123784,0.7423850744962692,0.9089547991752625,-2.7811229252968963,0.6685619801282883
test_clean_english_200024,clean_english,136.0,25.0,25.0,0.18382352941176472,5.44,0.2972232699394226,0.056570086628198624,0.80967140749199,-0.24065318331122398,0.004498572554439306,0.9848646690571833,-0.2927246973849833
test_clean_english_200025,clean_english,127.0,29.0,29.0,0.2283464566929134,4.379310344827586,0.26412996649742126,1.0721049308776855,-3.059005288550448,0.8079749643802643,0.9127538204193115,-2.4556996032035725,0.6486238539218903
test_clean_english_200026,clean_english,111.0,28.0,28.0,0.25225225225225223,3.9642857142857144,0.25394192337989807,0.9771998524665833,-2.8481233797882544,0.7232579290866852,0.9308316111564636,-2.665529498900172,0.6768896877765656
test_clean_english_200027,clean_english,123.0,30.0,30.0,0.24390243902439024,4.1,0.2721116244792938,0.6795672178268433,-1.497384002345532,0.40745559334754944,0.9306630492210388,-2.420151752068413,0.658551424741745
test_clean_english_200028,clean_english,125.0,30.0,30.0,0.24,4.166666666666667,0.27054545283317566,0.6165134906768799,-1.2787797178651374,0.3459680378437042,0.7397599816322327,-1.7343279064031623,0.469214528799057
test_clean_english_200029,clean_english,143.0,25.0,25.0,0.17482517482517482,5.72,0.4345965087413788,0.06862439960241318,0.8420962934075238,-0.3659721091389656,0.07284631580114365,0.8323817280260453,-0.36175019294023514
test_clean_english_200030,clean_english,139.0,27.0,27.0,0.19424460431654678,5.148148148148148,0.29425621032714844,0.4650537967681885,-0.5804383406255064,0.17079758644104004,0.36352652311325073,-0.23540815913142116,0.0692703127861023
test_clean_english_200031,clean_english,129.0,30.0,30.0,0.23255813953488372,4.3,0.31062036752700806,0.6345636248588562,-1.0428912305748324,0.32394325733184814,0.7462722659111023,-1.4025219976800616,0.43565189838409424
test_clean_english_200032,clean_english,136.0,23.0,23.0,0.16911764705882354,5.913043478260869,0.3458678722381592,0.032240211963653564,0.906784600272287,-0.3136276602745056,0.006076039746403694,0.9824324829389767,-0.3397918324917555
test_clean_english_200033,clean_english,128.0,28.0,28.0,0.21875,4.571428571428571,0.35992804169654846,0.34146788716316223,0.051288458788520265,-0.01846015453338623,0.3609716296195984,-0.0028994348929605343,0.0010435879230499268
test_clean_english_200034,clean_english,141.0,25.0,25.0,0.1773049645390071,5.64,0.3110080659389496,0.02085806056857109,0.932934020519373,-0.2901500053703785,0.03359434753656387,0.8919823914047349,-0.2774137184023857
test_clean_english_200035,clean_english,116.0,26.0,26.0,0.22413793103448276,4.461538461538462,0.3866245448589325,0.4945361912250519,-0.2791122493412648,0.10791164636611938,0.40540632605552673,-0.048578864033185315,0.01878178119659424
test_clean_english_200036,clean_english,131.0,29.0,29.0,0.22137404580152673,4.517241379310345,0.2459166944026947,0.9884040951728821,-3.019263912007315,0.7424874007701874,0.8074479103088379,-2.2834204781015064,0.5615312159061432
test_clean_english_200037,clean_english,131.0,29.0,29.0,0.22137404580152673,4.517241379310345,0.2896837890148163,0.7114129066467285,-1.455825743878068,0.42172911763191223,0.7233781218528748,-1.497130144261806,0.43369433283805847
test_clean_english_200038,clean_english,122.0,28.0,28.0,0.22950819672131148,4.357142857142857,0.24066093564033508,0.8044432997703552,-2.34264178617084,0.5637823641300201,0.9504090547561646,-2.949162136461314,0.7097481191158295
test_clean_english_200039,clean_english,128.0,28.0,28.0,0.21875,4.571428571428571,0.3023238778114319,0.5243597626686096,-0.7344305268393915,0.22203588485717773,0.3198632597923279,-0.05801520577159246,0.017539381980895996
test_clean_english_200040,clean_english,125.0,26.0,26.0,0.208,4.8076923076923075,0.23232126235961914,0.42601585388183594,-0.8337359635313507,0.1936945915222168,0.3608870804309845,-0.5533966920012398,0.12856581807136536
test_clean_english_200041,clean_english,136.0,24.0,24.0,0.17647058823529413,5.666666666666667,0.30046725273132324,0.023803478106856346,0.9207784612450218,-0.2766637746244669,0.021026747301220894,0.9300198370701551,-0.27944050543010235
test_clean_english_200042,clean_english,128.0,28.0,28.0,0.21875,4.571428571428571,0.28428640961647034,0.6693739891052246,-1.3545761121971127,0.3850875794887543,0.8172383904457092,-1.8747008748967011,0.5329519808292389
test_clean_english_200043,clean_english,95.0,28.0,28.0,0.29473684210526313,3.392857142857143,0.2741323411464691,0.9166914820671082,-2.3439742214776444,0.642559140920639,0.9362906813621521,-2.4154696138603042,0.662158340215683
test_clean_english_200044,clean_english,109.0,28.0,28.0,0.25688073394495414,3.892857142857143,0.31926313042640686,1.0632885694503784,-2.3304458552111966,0.7440254390239716,0.9711703658103943,-2.0419120570336515,0.6519072353839874
